date,device_type,category,user_type,sessions,orders,conversion_rate
2024-12-10,web,electronics,new,1194,57,0.0477
2024-12-10,web,electronics,returning,1270,76,0.0598
2024-12-10,web,fashion,new,866,31,0.0358
2024-12-10,web,fashion,returning,1089,61,0.056
2024-12-10,web,home,new,766,33,0.0431
2024-12-10,web,home,returning,933,52,0.0557
2024-12-10,web,groceries,new,907,47,0.0518
2024-12-10,web,groceries,returning,767,58,0.0756
2024-12-10,ios,electronics,new,686,26,0.0379
2024-12-10,ios,electronics,returning,1251,75,0.06
2024-12-10,ios,fashion,new,757,26,0.0343
2024-12-10,ios,fashion,returning,1071,55,0.0514
2024-12-10,ios,home,new,649,22,0.0339
2024-12-10,ios,home,returning,890,50,0.0562
2024-12-10,ios,groceries,new,518,24,0.0463
2024-12-10,ios,groceries,returning,595,36,0.0605
2024-12-10,android,electronics,new,784,30,0.0383
2024-12-10,android,electronics,returning,789,44,0.0558
2024-12-10,android,fashion,new,499,17,0.0341
2024-12-10,android,fashion,returning,624,30,0.0481
2024-12-10,android,home,new,401,14,0.0349
2024-12-10,android,home,returning,422,22,0.0521
2024-12-10,android,groceries,new,385,16,0.0416
2024-12-10,android,groceries,returning,506,28,0.0553
2024-12-11,web,electronics,new,1443,64,0.0444
2024-12-11,web,electronics,returning,1777,113,0.0636
2024-12-11,web,fashion,new,872,32,0.0367
2024-12-11,web,fashion,returning,996,52,0.0522
2024-12-11,web,home,new,768,31,0.0404
2024-12-11,web,home,returning,1029,61,0.0593
2024-12-11,web,groceries,new,856,44,0.0514
2024-12-11,web,groceries,returning,1001,72,0.0719
2024-12-11,ios,electronics,new,882,36,0.0408
2024-12-11,ios,electronics,returning,1438,84,0.0584
2024-12-11,ios,fashion,new,829,29,0.035
2024-12-11,ios,fashion,returning,847,40,0.0472
2024-12-11,ios,home,new,494,18,0.0364
2024-12-11,ios,home,returning,908,50,0.0551
2024-12-11,ios,groceries,new,438,21,0.0479
2024-12-11,ios,groceries,returning,624,41,0.0657
2024-12-11,android,electronics,new,634,25,0.0394
2024-12-11,android,electronics,returning,639,36,0.0563
2024-12-11,android,fashion,new,512,17,0.0332
2024-12-11,android,fashion,returning,713,35,0.0491
2024-12-11,android,home,new,458,15,0.0328
2024-12-11,android,home,returning,412,18,0.0437
2024-12-11,android,groceries,new,328,12,0.0366
2024-12-11,android,groceries,returning,362,19,0.0525
2024-12-12,web,electronics,new,1007,44,0.0437
2024-12-12,web,electronics,returning,1433,95,0.0663
2024-12-12,web,fashion,new,1086,45,0.0414
2024-12-12,web,fashion,returning,1024,58,0.0566
2024-12-12,web,home,new,790,35,0.0443
2024-12-12,web,home,returning,1243,74,0.0595
2024-12-12,web,groceries,new,752,39,0.0519
2024-12-12,web,groceries,returning,765,54,0.0706
2024-12-12,ios,electronics,new,886,36,0.0406
2024-12-12,ios,electronics,returning,1405,86,0.0612
2024-12-12,ios,fashion,new,653,23,0.0352
2024-12-12,ios,fashion,returning,948,50,0.0527
2024-12-12,ios,home,new,643,23,0.0358
2024-12-12,ios,home,returning,589,28,0.0475
2024-12-12,ios,groceries,new,579,27,0.0466
2024-12-12,ios,groceries,returning,785,51,0.065
2024-12-12,android,electronics,new,726,26,0.0358
2024-12-12,android,electronics,returning,808,44,0.0545
2024-12-12,android,fashion,new,445,13,0.0292
2024-12-12,android,fashion,returning,678,33,0.0487
2024-12-12,android,home,new,376,12,0.0319
2024-12-12,android,home,returning,445,22,0.0494
2024-12-12,android,groceries,new,311,13,0.0418
2024-12-12,android,groceries,returning,512,30,0.0586
2024-12-13,web,electronics,new,1397,64,0.0458
2024-12-13,web,electronics,returning,1481,92,0.0621
2024-12-13,web,fashion,new,891,36,0.0404
2024-12-13,web,fashion,returning,1409,84,0.0596
2024-12-13,web,home,new,857,36,0.042
2024-12-13,web,home,returning,879,51,0.058
2024-12-13,web,groceries,new,762,40,0.0525
2024-12-13,web,groceries,returning,770,57,0.074
2024-12-13,ios,electronics,new,889,39,0.0439
2024-12-13,ios,electronics,returning,1150,63,0.0548
2024-12-13,ios,fashion,new,701,23,0.0328
2024-12-13,ios,fashion,returning,978,47,0.0481
2024-12-13,ios,home,new,683,27,0.0395
2024-12-13,ios,home,returning,699,39,0.0558
2024-12-13,ios,groceries,new,399,17,0.0426
2024-12-13,ios,groceries,returning,664,42,0.0633
2024-12-13,android,electronics,new,555,19,0.0342
2024-12-13,android,electronics,returning,723,38,0.0526
2024-12-13,android,fashion,new,427,13,0.0304
2024-12-13,android,fashion,returning,596,26,0.0436
2024-12-13,android,home,new,401,14,0.0349
2024-12-13,android,home,returning,623,32,0.0514
2024-12-13,android,groceries,new,352,15,0.0426
2024-12-13,android,groceries,returning,332,20,0.0602
2024-12-14,web,electronics,new,1519,73,0.0481
2024-12-14,web,electronics,returning,1492,90,0.0603
2024-12-14,web,fashion,new,953,39,0.0409
2024-12-14,web,fashion,returning,1197,70,0.0585
2024-12-14,web,home,new,626,25,0.0399
2024-12-14,web,home,returning,1086,68,0.0626
2024-12-14,web,groceries,new,714,35,0.049
2024-12-14,web,groceries,returning,997,66,0.0662
2024-12-14,ios,electronics,new,849,38,0.0448
2024-12-14,ios,electronics,returning,1050,59,0.0562
2024-12-14,ios,fashion,new,849,30,0.0353
2024-12-14,ios,fashion,returning,1054,49,0.0465
2024-12-14,ios,home,new,482,19,0.0394
2024-12-14,ios,home,returning,799,45,0.0563
2024-12-14,ios,groceries,new,558,23,0.0412
2024-12-14,ios,groceries,returning,736,46,0.0625
2024-12-14,android,electronics,new,650,23,0.0354
2024-12-14,android,electronics,returning,1006,55,0.0547
2024-12-14,android,fashion,new,568,18,0.0317
2024-12-14,android,fashion,returning,580,26,0.0448
2024-12-14,android,home,new,464,16,0.0345
2024-12-14,android,home,returning,542,26,0.048
2024-12-14,android,groceries,new,347,14,0.0403
2024-12-14,android,groceries,returning,387,24,0.062
2024-12-15,web,electronics,new,1293,62,0.048
2024-12-15,web,electronics,returning,1093,76,0.0695
2024-12-15,web,fashion,new,1040,40,0.0385
2024-12-15,web,fashion,returning,1244,68,0.0547
2024-12-15,web,home,new,660,28,0.0424
2024-12-15,web,home,returning,1217,67,0.0551
2024-12-15,web,groceries,new,627,30,0.0478
2024-12-15,web,groceries,returning,835,58,0.0695
2024-12-15,ios,electronics,new,1093,48,0.0439
2024-12-15,ios,electronics,returning,1308,81,0.0619
2024-12-15,ios,fashion,new,730,26,0.0356
2024-12-15,ios,fashion,returning,1039,50,0.0481
2024-12-15,ios,home,new,703,25,0.0356
2024-12-15,ios,home,returning,713,36,0.0505
2024-12-15,ios,groceries,new,399,17,0.0426
2024-12-15,ios,groceries,returning,559,35,0.0626
2024-12-15,android,electronics,new,606,22,0.0363
2024-12-15,android,electronics,returning,871,47,0.054
2024-12-15,android,fashion,new,608,20,0.0329
2024-12-15,android,fashion,returning,664,32,0.0482
2024-12-15,android,home,new,460,16,0.0348
2024-12-15,android,home,returning,471,22,0.0467
2024-12-15,android,groceries,new,274,11,0.0401
2024-12-15,android,groceries,returning,478,27,0.0565
2024-12-16,web,electronics,new,1354,66,0.0487
2024-12-16,web,electronics,returning,1778,107,0.0602
2024-12-16,web,fashion,new,964,36,0.0373
2024-12-16,web,fashion,returning,1225,67,0.0547
2024-12-16,web,home,new,1059,42,0.0397
2024-12-16,web,home,returning,1061,62,0.0584
2024-12-16,web,groceries,new,664,32,0.0482
2024-12-16,web,groceries,returning,1239,80,0.0646
2024-12-16,ios,electronics,new,792,30,0.0379
2024-12-16,ios,electronics,returning,998,59,0.0591
2024-12-16,ios,fashion,new,703,24,0.0341
2024-12-16,ios,fashion,returning,918,49,0.0534
2024-12-16,ios,home,new,622,22,0.0354
2024-12-16,ios,home,returning,805,45,0.0559
2024-12-16,ios,groceries,new,636,27,0.0425
2024-12-16,ios,groceries,returning,579,38,0.0656
2024-12-16,android,electronics,new,561,21,0.0374
2024-12-16,android,electronics,returning,767,42,0.0548
2024-12-16,android,fashion,new,552,16,0.029
2024-12-16,android,fashion,returning,601,30,0.0499
2024-12-16,android,home,new,415,13,0.0313
2024-12-16,android,home,returning,547,28,0.0512
2024-12-16,android,groceries,new,415,17,0.041
2024-12-16,android,groceries,returning,402,22,0.0547
2024-12-17,web,electronics,new,1259,55,0.0437
2024-12-17,web,electronics,returning,1757,111,0.0632
2024-12-17,web,fashion,new,1163,44,0.0378
2024-12-17,web,fashion,returning,1388,75,0.054
2024-12-17,web,home,new,1032,43,0.0417
2024-12-17,web,home,returning,816,49,0.06
2024-12-17,web,groceries,new,816,42,0.0515
2024-12-17,web,groceries,returning,1017,67,0.0659
2024-12-17,ios,electronics,new,1023,18,0.0176
2024-12-17,ios,electronics,returning,1218,32,0.0263
2024-12-17,ios,fashion,new,836,14,0.0167
2024-12-17,ios,fashion,returning,908,19,0.0209
2024-12-17,ios,home,new,538,9,0.0167
2024-12-17,ios,home,returning,663,15,0.0226
2024-12-17,ios,groceries,new,624,13,0.0208
2024-12-17,ios,groceries,returning,627,17,0.0271
2024-12-17,android,electronics,new,704,23,0.0327
2024-12-17,android,electronics,returning,790,41,0.0519
2024-12-17,android,fashion,new,473,14,0.0296
2024-12-17,android,fashion,returning,665,26,0.0391
2024-12-17,android,home,new,420,13,0.031
2024-12-17,android,home,returning,519,23,0.0443
2024-12-17,android,groceries,new,273,10,0.0366
2024-12-17,android,groceries,returning,438,21,0.0479
2024-12-18,web,electronics,new,1370,64,0.0467
2024-12-18,web,electronics,returning,1526,97,0.0636
2024-12-18,web,fashion,new,959,39,0.0407
2024-12-18,web,fashion,returning,1346,78,0.0579
2024-12-18,web,home,new,784,31,0.0395
2024-12-18,web,home,returning,980,53,0.0541
2024-12-18,web,groceries,new,828,40,0.0483
2024-12-18,web,groceries,returning,914,66,0.0722
2024-12-18,ios,electronics,new,805,16,0.0199
2024-12-18,ios,electronics,returning,1068,28,0.0262
2024-12-18,ios,fashion,new,808,12,0.0149
2024-12-18,ios,fashion,returning,1012,24,0.0237
2024-12-18,ios,home,new,584,10,0.0171
2024-12-18,ios,home,returning,768,18,0.0234
2024-12-18,ios,groceries,new,484,10,0.0207
2024-12-18,ios,groceries,returning,567,15,0.0265
2024-12-18,android,electronics,new,749,28,0.0374
2024-12-18,android,electronics,returning,735,37,0.0503
2024-12-18,android,fashion,new,556,17,0.0306
2024-12-18,android,fashion,returning,699,30,0.0429
2024-12-18,android,home,new,397,12,0.0302
2024-12-18,android,home,returning,434,19,0.0438
2024-12-18,android,groceries,new,451,17,0.0377
2024-12-18,android,groceries,returning,365,18,0.0493
2024-12-19,web,electronics,new,1175,53,0.0451
2024-12-19,web,electronics,returning,1307,85,0.065
2024-12-19,web,fashion,new,749,29,0.0387
2024-12-19,web,fashion,returning,1430,74,0.0517
2024-12-19,web,home,new,768,31,0.0404
2024-12-19,web,home,returning,769,46,0.0598
2024-12-19,web,groceries,new,730,37,0.0507
2024-12-19,web,groceries,returning,804,61,0.0759
2024-12-19,ios,electronics,new,1137,21,0.0185
2024-12-19,ios,electronics,returning,1506,38,0.0252
2024-12-19,ios,fashion,new,893,15,0.0168
2024-12-19,ios,fashion,returning,1098,24,0.0219
2024-12-19,ios,home,new,738,11,0.0149
2024-12-19,ios,home,returning,832,21,0.0252
2024-12-19,ios,groceries,new,559,10,0.0179
2024-12-19,ios,groceries,returning,838,24,0.0286
2024-12-19,android,electronics,new,623,21,0.0337
2024-12-19,android,electronics,returning,939,45,0.0479
2024-12-19,android,fashion,new,512,14,0.0273
2024-12-19,android,fashion,returning,659,27,0.041
2024-12-19,android,home,new,468,15,0.0321
2024-12-19,android,home,returning,592,27,0.0456
2024-12-19,android,groceries,new,419,14,0.0334
2024-12-19,android,groceries,returning,488,27,0.0553
2024-12-20,web,electronics,new,1028,47,0.0457
2024-12-20,web,electronics,returning,1748,121,0.0692
2024-12-20,web,fashion,new,1127,43,0.0382
2024-12-20,web,fashion,returning,1453,75,0.0516
2024-12-20,web,home,new,1014,41,0.0404
2024-12-20,web,home,returning,1240,75,0.0605
2024-12-20,web,groceries,new,592,28,0.0473
2024-12-20,web,groceries,returning,894,62,0.0694
2024-12-20,ios,electronics,new,767,14,0.0183
2024-12-20,ios,electronics,returning,918,22,0.024
2024-12-20,ios,fashion,new,774,12,0.0155
2024-12-20,ios,fashion,returning,1217,26,0.0214
2024-12-20,ios,home,new,528,8,0.0152
2024-12-20,ios,home,returning,997,22,0.0221
2024-12-20,ios,groceries,new,503,10,0.0199
2024-12-20,ios,groceries,returning,715,19,0.0266
2024-12-20,android,electronics,new,670,22,0.0328
2024-12-20,android,electronics,returning,829,42,0.0507
2024-12-20,android,fashion,new,550,15,0.0273
2024-12-20,android,fashion,returning,679,27,0.0398
2024-12-20,android,home,new,370,11,0.0297
2024-12-20,android,home,returning,425,19,0.0447
2024-12-20,android,groceries,new,416,16,0.0385
2024-12-20,android,groceries,returning,591,31,0.0525
2024-12-21,web,electronics,new,1138,53,0.0466
2024-12-21,web,electronics,returning,1536,101,0.0658
2024-12-21,web,fashion,new,1040,38,0.0365
2024-12-21,web,fashion,returning,1357,80,0.059
2024-12-21,web,home,new,921,36,0.0391
2024-12-21,web,home,returning,1035,64,0.0618
2024-12-21,web,groceries,new,731,39,0.0534
2024-12-21,web,groceries,returning,1194,88,0.0737
2024-12-21,ios,electronics,new,682,13,0.0191
2024-12-21,ios,electronics,returning,1324,36,0.0272
2024-12-21,ios,fashion,new,743,11,0.0148
2024-12-21,ios,fashion,returning,1126,26,0.0231
2024-12-21,ios,home,new,551,9,0.0163
2024-12-21,ios,home,returning,874,21,0.024
2024-12-21,ios,groceries,new,656,13,0.0198
2024-12-21,ios,groceries,returning,534,16,0.03
2024-12-21,android,electronics,new,558,18,0.0323
2024-12-21,android,electronics,returning,653,31,0.0475
2024-12-21,android,fashion,new,520,16,0.0308
2024-12-21,android,fashion,returning,648,27,0.0417
2024-12-21,android,home,new,323,9,0.0279
2024-12-21,android,home,returning,603,28,0.0464
2024-12-21,android,groceries,new,386,15,0.0389
2024-12-21,android,groceries,returning,365,18,0.0493
2024-12-22,web,electronics,new,1086,47,0.0433
2024-12-22,web,electronics,returning,1092,68,0.0623
2024-12-22,web,fashion,new,992,41,0.0413
2024-12-22,web,fashion,returning,1207,70,0.058
2024-12-22,web,home,new,837,36,0.043
2024-12-22,web,home,returning,776,49,0.0631
2024-12-22,web,groceries,new,696,33,0.0474
2024-12-22,web,groceries,returning,673,49,0.0728
2024-12-22,ios,electronics,new,784,14,0.0179
2024-12-22,ios,electronics,returning,1279,35,0.0274
2024-12-22,ios,fashion,new,898,14,0.0156
2024-12-22,ios,fashion,returning,1081,26,0.0241
2024-12-22,ios,home,new,650,11,0.0169
2024-12-22,ios,home,returning,754,19,0.0252
2024-12-22,ios,groceries,new,456,9,0.0197
2024-12-22,ios,groceries,returning,551,14,0.0254
2024-12-22,android,electronics,new,585,20,0.0342
2024-12-22,android,electronics,returning,890,43,0.0483
2024-12-22,android,fashion,new,545,15,0.0275
2024-12-22,android,fashion,returning,770,33,0.0429
2024-12-22,android,home,new,402,12,0.0299
2024-12-22,android,home,returning,519,23,0.0443
2024-12-22,android,groceries,new,335,12,0.0358
2024-12-22,android,groceries,returning,588,28,0.0476
2024-12-23,web,electronics,new,995,47,0.0472
2024-12-23,web,electronics,returning,1372,89,0.0649
2024-12-23,web,fashion,new,1031,38,0.0369
2024-12-23,web,fashion,returning,1678,92,0.0548
2024-12-23,web,home,new,779,31,0.0398
2024-12-23,web,home,returning,1005,60,0.0597
2024-12-23,web,groceries,new,571,29,0.0508
2024-12-23,web,groceries,returning,1010,68,0.0673
2024-12-23,ios,electronics,new,1215,24,0.0198
2024-12-23,ios,electronics,returning,1183,33,0.0279
2024-12-23,ios,fashion,new,555,9,0.0162
2024-12-23,ios,fashion,returning,959,20,0.0209
2024-12-23,ios,home,new,744,11,0.0148
2024-12-23,ios,home,returning,720,16,0.0222
2024-12-23,ios,groceries,new,554,11,0.0199
2024-12-23,ios,groceries,returning,832,25,0.03
2024-12-23,android,electronics,new,568,18,0.0317
2024-12-23,android,electronics,returning,717,34,0.0474
2024-12-23,android,fashion,new,499,14,0.0281
2024-12-23,android,fashion,returning,531,20,0.0377
2024-12-23,android,home,new,422,12,0.0284
2024-12-23,android,home,returning,595,24,0.0403
2024-12-23,android,groceries,new,377,14,0.0371
2024-12-23,android,groceries,returning,408,19,0.0466
2024-12-24,web,electronics,new,947,43,0.0454
2024-12-24,web,electronics,returning,1674,111,0.0663
2024-12-24,web,fashion,new,810,33,0.0407
2024-12-24,web,fashion,returning,1038,54,0.052
2024-12-24,web,home,new,856,35,0.0409
2024-12-24,web,home,returning,871,47,0.054
2024-12-24,web,groceries,new,676,34,0.0503
2024-12-24,web,groceries,returning,753,49,0.0651
2024-12-24,ios,electronics,new,972,17,0.0175
2024-12-24,ios,electronics,returning,1103,30,0.0272
2024-12-24,ios,fashion,new,895,14,0.0156
2024-12-24,ios,fashion,returning,965,23,0.0238
2024-12-24,ios,home,new,507,8,0.0158
2024-12-24,ios,home,returning,758,18,0.0237
2024-12-24,ios,groceries,new,589,12,0.0204
2024-12-24,ios,groceries,returning,793,24,0.0303
2024-12-24,android,electronics,new,641,22,0.0343
2024-12-24,android,electronics,returning,694,33,0.0476
2024-12-24,android,fashion,new,482,14,0.029
2024-12-24,android,fashion,returning,614,23,0.0375
2024-12-24,android,home,new,330,11,0.0333
2024-12-24,android,home,returning,595,25,0.042
2024-12-24,android,groceries,new,429,16,0.0373
2024-12-24,android,groceries,returning,525,28,0.0533
